Date,Close,Close
2005-1-3,1202.079956,14.08
2005-1-4,1188.050049,13.98
2005-1-5,1183.73999,14.09
2005-1-6,1187.890015,13.58
2005-1-7,1186.189941,13.49
2005-1-10,1190.25,13.23
2005-1-11,1182.98999,13.19
2005-1-12,1187.699951,12.56
2005-1-13,1177.449951,12.84
2005-1-14,1184.52002,12.43
2005-1-18,1195.97998,12.47
2005-1-19,1184.630005,13.18
2005-1-20,1175.410034,13.83
2005-1-21,1167.869995,14.36
2005-1-24,1163.75,14.65
2005-1-25,1168.410034,14.06
2005-1-26,1174.069946,13.44
2005-1-27,1174.550049,13.24
2005-1-28,1171.359985,13.24
2005-1-31,1181.27002,12.82
2005-2-1,1189.410034,12.03
2005-2-2,1193.189941,11.66
2005-2-3,1189.890015,11.79
2005-2-4,1203.030029,11.21
2005-2-7,1201.719971,11.73
2005-2-8,1202.300049,11.6
2005-2-9,1191.98999,12
2005-2-10,1197.01001,11.51
2005-2-11,1205.300049,11.43
2005-2-14,1206.140015,11.52
2005-2-15,1210.119995,11.27
2005-2-16,1210.339966,11.1
2005-2-17,1200.75,11.77
2005-2-18,1201.589966,11.18
2005-2-22,1184.160034,13.14
2005-2-23,1190.800049,12.39
2005-2-24,1200.199951,11.57
2005-2-25,1211.369995,11.49
2005-2-28,1203.599976,12.08
2005-3-1,1210.410034,12.04
2005-3-2,1210.079956,12.5
2005-3-3,1210.469971,12.93
2005-3-4,1222.119995,11.94
2005-3-7,1225.310059,12.26
2005-3-8,1219.430054,12.4
2005-3-9,1207.01001,12.7
2005-3-10,1209.25,12.49
2005-3-11,1200.079956,12.8
2005-3-14,1206.829956,12.39
2005-3-15,1197.75,13.15
2005-3-16,1188.069946,13.49
2005-3-17,1190.209961,13.29
2005-3-18,1189.650024,13.14
2005-3-21,1183.780029,13.61
2005-3-22,1171.709961,14.27
2005-3-23,1172.530029,14.06
2005-3-24,1171.420044,13.42
2005-3-28,1174.280029,13.75
2005-3-29,1165.359985,14.49
2005-3-30,1181.410034,13.64
2005-3-31,1180.589966,14.02
2005-4-1,1172.920044,14.09
2005-4-4,1176.119995,14.11
2005-4-5,1181.390015,13.68
2005-4-6,1184.069946,13.15
2005-4-7,1191.140015,12.33
2005-4-8,1181.199951,12.62
2005-4-11,1181.209961,11.98
2005-4-12,1187.76001,11.3
2005-4-13,1173.790039,13.31
2005-4-14,1162.050049,14.53
2005-4-15,1142.619995,17.74
2005-4-18,1145.97998,16.559999
2005-4-19,1152.780029,14.96
2005-4-20,1137.5,16.92
2005-4-21,1159.949951,14.41
2005-4-22,1152.119995,15.38
2005-4-25,1162.099976,14.62
2005-4-26,1151.829956,14.91
